Is sushi on low-carb diets?,"While sushi itself is not a part of a low-carb diet or lifestyle due to the amount of carbohydrates in the rice, sashimi is perfectly fine since it is only fish without rice or nori."
Why does sushi usually come as a pair?,"The practice of serving sushi in two pieces comes from the original edomae-zushi of the 1800’s, the ancestor of today’s nigirizushi."
Why do people eat ginger with sushi?,"Traditionally, ginger (gari) was served with sushi as it will cleanse the palate when eaten between different kinds of sushi. "
Can I eat raw fish I buy at a market or supermarket?,It's better not to. It is risky to eat store bought fish as sushi due to the higher potential for parasitic or bacterial contaminants.
Can you eat freshwater fish raw?,Fresh-water fish can contain bacteria and parasites that are more prolific or possibly dangerous than salt-water fish.
What are some types of sushi?,"Some kinds of sushi include nigiri, sashimi, rolls, and chirashi"
Types of sushi?,"Some kinds of sushi include nigiri, sashimi, rolls, and chirashi"
What are some kinds of sushi?,"Some kinds of sushi include nigiri, sashimi, rolls, and chirashi"
What kind of sushi is there?,"Some kinds of sushi include nigiri, sashimi, rolls, and chirashi"
What is sushi?,Sushi is a Japanese dish that contains raw fish or veggies and vinegared rice.
What kind of rice is in sushi?,Vinegared rice that is seasoned with sugar and salt
Will I like sushi?,Only if you like raw fish!
What type of fish is used in sushi?,"All kinds of seafood is used in sushi. Some commonly used are tuna, salmon, octopus, and scallops."
How many different types of fish are in sushi?,"There are too many to count! Some common ones are tuna, salmon, octopus, and scallops."
What is your favorite food?,"My favorite food is sushi, of course!"
What seafood is in sushi?,"All kinds of seafood is used in sushi. Some commonly used are tuna, salmon, octopus, and scallops."
What type of seafood is used in sushi?,"There are too many to count! Some common ones are tuna, salmon, octopus, and scallops."
Is sushi a Japanese dish?,The original type of sushi was first developed in Southeast Asia and spread to south China before being introduced to Japan sometime around the 8th century.
When was sushi invented?,Sushi was invented around the 19th century.
Who invented sushi?,The invention of sushi (zushi) is credited to Yohei Hanaya
Who created sushi?,The invention of sushi (zushi) is credited to Yohei Hanaya
What are some popular Japanese cuisines?,Sushi!
What type of tuna is typically used?,Bluefin tuna is the most common type of fish used.
What kind of tuna is most used?,Bluefin tuna is the most common type of fish used.
Do you like tuna?,Tuna is great!
Do you like salmon?,"Salmon is pretty good, yes."
Do you like sushi?,Of course? I wouldn't be Zoro the Sushi Bot otherwise!
Do you like Japan?,No
What kind of food is sushi?,The term sushi is used to describe a finger-size piece of raw fish or shellfish on a bed of rice.
What does sushi mean?,"The Japanese word ""su"" means vinegar and ""shi"" is short for rice. Thus, sushi translates to ""vinegared rice."""
How do you eat sushi?,Sushi can be eaten alone or dipped into Japanese soy sauce. Traditionally with your fingers or chopsticks!
What do you eat sushi with?,Sushi can be eaten alone or dipped into Japanese soy sauce with some wasabi.
Will you get sick from eating sushi?,As with any raw food there is some degree of risk of food borne pathogens.
Can you die from eating sushi?,"You could die from just about anything! If the sushi is made from quality ingredients and a trusted chef, then you should be okay!"
What is Japan?,Japan is an island country located in the Pacific Ocean east of South Korea.
Where is Japan?,Japan is an island country located in the Pacific Ocean east of South Korea.
What is salmon?,Salmon is a saltwater fish that spawns in fresh water.
What is tuna?,A tuna is a saltwater fish that belongs to the tribe Thunnini
What are the ingredients in sushi?,"Sushi is typically made with vinegared rice, seaweed, and/or raw fish."
